身高,体重
141,41.3
195,57.5
189,58.7
164,54.2
197,64.1
144,41.2
175,50.5
192,60.6
195,61.5
174,56.2
142,40.6
185,54.5
162,43.6
156,47.8
184,57.2
197,62.1
169,46.7
153,49.9
195,57.5
141,47.3
179,52.7
168,52.4
200,58
146,43.8
161,50.3
160,45
185,50.5
177,54.1
171,50.3
144,41.2
152,46.6
184,50.2
191,52.3
151,50.3
200,65
154,46.2
157,46.1
153,49.9
153,49.9
152,50.6
155,46.5
193,54.9
143,41.9
190,54
162,47.6
160,52
161,49.3
168,50.4
165,50.5
192,59.6
190,60
149,44.7
195,54.5
170,53
181,54.3
187,56.1
198,58.4
155,43.5
157,42.1
198,60.4
173,49.9
163,43.9
154,49.2
143,46.9
152,43.6
192,61.6
191,57.3
194,54.2
153,48.9
181,53.3
171,55.3
190,61
165,50.5
148,41.4
167,49.1
153,46.9
147,43.1
147,46.1
145,45.5
144,45.2
162,52.6
190,57
174,54.2
168,48.4
155,41.5
169,54.7
172,48.6
169,48.7
193,59.9
195,60.5
174,49.2
152,41.6
193,53.9
157,50.1
145,40.5
196,55.8
183,55.9
145,45.5
153,50.9
196,59.8
146,38.8
196,55.8
192,54.6
197,58.1
185,51.5
143,42.9
198,61.4
159,52.7
175,54.5
168,47.4
168,49.4
143,38.9
172,56.6
145,39.5
157,44.1
197,57.1
146,45.8
175,53.5
147,47.1
181,59.3
150,42
188,51.4
149,39.7
188,61.4
155,45.5
190,60
166,52.8
200,55
184,55.2
176,47.8
191,54.3
144,39.2
156,45.8
196,61.8
181,54.3
178,50.4
165,51.5
187,58.1
160,43
192,52.6
153,41.9
170,54
174,54.2
184,55.2
172,48.6
196,63.8
160,50
149,43.7
195,56.5
190,52
198,60.4
166,49.8
154,45.2
151,40.3
171,51.3
142,41.6
176,54.8
200,61
156,46.8
161,49.3
144,46.2
171,56.3
143,42.9
173,47.9
151,50.3
170,56
170,50
171,54.3
157,46.1
190,57
177,58.1
168,52.4
195,57.5
171,55.3
200,57
143,39.9
148,49.4
168,50.4
175,57.5
144,40.2
161,43.3
151,47.3
167,54.1
190,59
145,40.5
198,57.4
146,38.8
200,57
189,53.7
175,57.5
174,47.2
184,60.2
170,54
165,52.5
166,51.8
169,54.7
184,59.2
182,55.6
194,61.2
183,57.9
173,48.9
176,51.8
148,48.4
170,53
176,57.8
192,54.6
172,48.6
169,52.7
154,43.2
140,38
183,55.9
184,59.2
164,50.2
146,43.8
189,60.7
180,56
156,51.8
155,49.5
197,64.1
151,48.3
186,51.8
176,57.8
154,41.2
183,50.9
176,54.8
150,40
175,50.5
197,60.1
197,61.1
154,48.2
174,51.2
171,46.3
175,54.5
152,44.6
183,53.9
195,63.5
183,54.9
172,54.6
164,45.2
180,55
143,38.9
164,47.2
171,49.3
176,55.8
175,51.5
192,58.6
187,59.1
185,53.5
187,54.1
183,56.9
141,45.3
199,54.7
173,49.9
147,46.1
176,55.8
177,48.1
192,61.6
142,38.6
186,53.8
156,49.8
190,57
160,45
169,51.7
185,53.5
157,50.1
193,53.9
165,54.5
157,43.1
165,52.5
177,53.1
184,51.2
178,57.4
196,58.8
179,48.7
177,55.1
163,47.9
165,44.5
157,44.1
189,52.7
152,49.6
173,55.9
143,46.9
146,39.8
189,58.7
178,58.4
155,41.5
170,54
148,47.4
158,48.4
200,65
174,47.2
155,51.5
158,51.4
176,48.8
181,56.3
177,55.1
200,57
140,47
153,43.9
179,50.7
197,62.1
152,43.6
159,43.7
193,53.9
144,43.2
191,61.3
156,46.8
145,38.5
143,40.9
166,53.8
188,53.4
162,53.6
146,42.8
169,49.7
169,45.7
189,51.7
198,58.4
165,50.5
169,49.7
163,44.9
150,42
173,50.9
142,41.6
156,46.8
195,56.5
198,64.4
199,56.7
194,62.2
195,58.5
164,51.2
174,47.2
185,50.5
158,47.4
146,46.8
164,50.2
192,54.6
177,48.1
145,40.5
196,63.8
187,55.1
198,56.4
158,50.4
155,49.5
179,54.7
189,54.7
161,51.3
167,45.1
188,55.4
146,43.8
191,52.3
168,51.4
185,57.5
193,62.9
143,37.9
161,45.3
142,37.6
163,47.9
168,50.4
163,48.9
191,55.3
178,50.4
160,49
171,50.3
188,56.4
167,53.1
191,61.3
171,50.3
140,42
152,41.6
190,56
169,54.7
200,58
154,41.2
166,47.8
163,51.9
193,52.9
188,54.4
161,44.3
172,50.6
187,54.1
169,46.7
155,45.5
189,60.7
190,55
141,46.3
179,56.7
159,49.7
185,55.5
171,48.3
159,45.7
191,52.3
153,50.9
195,61.5
176,52.8
142,46.6
183,49.9
181,57.3
194,60.2
179,58.7
143,42.9
164,48.2
163,53.9
157,50.1
146,46.8
181,49.3
190,55
198,62.4
142,46.6
175,51.5
169,52.7
142,40.6
168,52.4
156,44.8
145,41.5
143,38.9
141,40.3
188,55.4
183,52.9
156,46.8
141,46.3
174,47.2
151,43.3
176,49.8
162,43.6
144,38.2
190,62
170,55
184,52.2
142,40.6
158,45.4
152,50.6
145,41.5
168,55.4
177,56.1
171,54.3
140,38
162,49.6
158,44.4
164,46.2
196,63.8
194,61.2
187,54.1
174,54.2
157,46.1
152,50.6
148,47.4
157,46.1
189,61.7
166,50.8
165,53.5
187,54.1
187,60.1
150,42
145,47.5
180,53
140,39
176,54.8
144,47.2
192,58.6
171,50.3
174,53.2
193,55.9
164,52.2
166,47.8
154,41.2
173,55.9
151,44.3
149,45.7
165,46.5
191,58.3
160,50
193,59.9
142,41.6
156,48.8
158,51.4
147,44.1
172,55.6
175,51.5
182,58.6
185,55.5
161,49.3
156,48.8
189,52.7
142,38.6
186,52.8
140,46
190,62
152,48.6
159,45.7
183,51.9
190,57
146,46.8
164,46.2
148,49.4
141,41.3
182,54.6
169,47.7
179,51.7
200,63
142,46.6
